λ	P0_теор	P_отк_теор	Q_теор	A_теор	k_теор	P_отк_эксп	Q_эксп	A_эксп	k_эксп
0.50	0.4223	0.0256	0.9744	0.4872	0.4872	0.0289	0.9711	0.4856	0.4856
1.00	0.2395	0.0833	0.9167	0.9167	0.9167	0.0876	0.9124	0.9124	0.9124
1.50	0.1443	0.1481	0.8519	1.2779	1.2779	0.1523	0.8477	1.2716	1.2716
2.00	0.0910	0.2105	0.7895	1.5790	1.5790	0.2156	0.7844	1.5688	1.5688
2.50	0.0596	0.2667	0.7333	1.8333	1.8333	0.2712	0.7288	1.8220	1.8220
3.00	0.0404	0.3158	0.6842	2.0526	2.0526	0.3198	0.6802	2.0406	2.0406
3.50	0.0282	0.3580	0.6420	2.2470	2.2470	0.3621	0.6379	2.2327	2.2327
4.00	0.0202	0.3947	0.6053	2.4211	2.4211	0.3989	0.6011	2.4044	2.4044
4.50	0.0149	0.4269	0.5731	2.5791	2.5791	0.4305	0.5695	2.5628	2.5628
5.00	0.0112	0.4556	0.5444	2.7222	2.7222	0.4598	0.5402	2.7010	2.7010
5.50	0.0086	0.4815	0.5185	2.8519	2.8519	0.4856	0.5144	2.8292	2.8292
6.00	0.0068	0.5048	0.4952	2.9712	2.9712	0.5098	0.4902	2.9412	2.9412
